"date","Apple","IBM","ITW","TESLA"
2012-10-11,22.432142,205.759995,58.43,5.664
2012-10-12,22.489643,207.800003,58.549999,5.528
2012-10-15,22.67,208.929993,58.869999,5.466
2012-10-16,23.206785,211,59.610001,5.612
2012-10-17,23.021786,200.630005,60.18,5.764
2012-10-18,22.594286,194.960007,60.75,5.608
2012-10-19,21.780001,193.360001,60.790001,5.548
2012-10-22,22.643929,194.399994,60.560001,5.57
2012-10-23,21.905714,191.25,60.73,5.678
2012-10-24,22.029642,190.720001,60.139999,5.484
2012-10-25,21.769285,191.600006,60.470001,5.504
2012-10-26,21.571428,193.270004,60.27,5.476
2012-10-31,21.261429,194.529999,61.330002,5.626
2012-11-01,21.305,197.149994,62.119999,5.85
2012-11-02,20.6,193.429993,62.02,5.784
2012-11-05,20.879286,194.139999,62.330002,6.3
2012-11-06,20.816071,195.070007,62.950001,6.23
2012-11-07,19.928572,191.160004,61.740002,6.308
2012-11-08,19.205357,190.100006,60.349998,6.262
2012-11-09,19.537857,189.639999,60.439999,6.064
2012-11-12,19.386786,189.25,60.91,6.214
2012-11-13,19.389286,188.320007,60.830002,6.322
2012-11-14,19.174286,185.509995,59.549999,6.276
2012-11-15,18.772142,185.850006,58.75,6.164
2012-11-16,18.845715,186.940002,58.869999,6.368
2012-11-19,20.204643,190.350006,59.549999,6.584
2012-11-20,20.032499,189.199997,59.849998,6.6
2012-11-21,20.060715,190.289993,59.77,6.494
2012-11-23,20.410715,193.490005,60.619999,6.426
2012-11-26,21.054644,192.880005,60.540001,6.454
2012-11-27,20.885,191.229996,60.540001,6.43
2012-11-28,20.819286,191.979996,61.459999,6.646
2012-11-29,21.048571,191.529999,61.830002,6.738
2012-11-30,20.902857,190.070007,61.57,6.764
2012-12-03,20.935358,189.479996,61.07,6.924
2012-12-04,20.566071,189.360001,61.16,6.78
2012-12-05,19.2425,188.649994,61.709999,6.742
2012-12-06,19.544285,189.699997,61.549999,6.78
2012-12-07,19.044643,191.949997,61.169998,6.834
2012-12-10,18.922142,192.619995,61.970001,6.914
2012-12-11,19.335358,194.199997,61.860001,7.056
2012-12-12,19.25,192.949997,62.110001,7.052
2012-12-13,18.9175,191.990005,62.049999,6.722
2012-12-14,18.206785,191.759995,59.82,6.762
2012-12-17,18.529642,193.619995,60.259998,6.88
2012-12-18,19.067858,195.690002,61.790001,6.918
2012-12-19,18.796785,195.080002,61.389999,6.922
2012-12-20,18.633215,194.770004,61.889999,6.886
2012-12-21,18.547501,193.419998,61.290001,6.8
2012-12-24,18.577499,192.399994,61.080002,6.856
2012-12-26,18.321428,191.949997,61,6.718
2012-12-27,18.395,192.710007,60.689999,6.738
2012-12-28,18.199642,189.830002,60.02,6.644
2012-12-31,19.006071,191.550003,60.810001,6.774
2013-01-02,19.608213,196.350006,61.98,7.072
2013-01-03,19.360714,195.270004,62.23,6.954
2013-01-04,18.821428,193.990005,62.400002,6.88
2013-01-07,18.710714,193.139999,62.259998,6.868
2013-01-08,18.761072,192.869995,62.220001,6.736
2013-01-09,18.467857,192.320007,61.869999,6.728
2013-01-10,18.696785,192.880005,62.759998,6.706
2013-01-11,18.582144,194.449997,62.560001,6.582
2013-01-14,17.919643,192.619995,62.880001,6.652
2013-01-15,17.354286,192.5,62.619999,6.78
2013-01-16,18.074642,192.589996,62.290001,6.82
2013-01-17,17.952858,193.649994,63.299999,6.876
2013-01-18,17.857143,194.470001,63.720001,6.904
2013-01-22,18.0275,196.080002,63.650002,7.038
2013-01-23,18.3575,204.720001,63.93,7.2
2013-01-24,16.089285,204.419998,64.830002,7.398
2013-01-25,15.71,204.970001,64.989998,7.396
2013-01-28,16.065357,204.929993,65.440002,7.606
